Claim Number;date_of_loss;dayofweek;isweekend;month;season;Notifier;Loss_code;Loss_description;Notification_period;Inception_to_loss;Location_of_incident;Weather_conditions;Vehicle_mobile;Time_hour;Main_driver;Vechile_registration_present;Incident_details_present;Injury_details_present;TP_type_insd_pass_back;TP_type_insd_pass_front;TP_type_driver;TP_type_pass_back;TP_type_pass_front;TP_type_bike;TP_type_cyclist;TP_type_pass_multi;TP_type_pedestrian;TP_type_other;TP_type_nk;TP_injury_whiplash;TP_injury_traumatic;TP_injury_fatality;TP_injury_unclear;TP_injury_nk;TP_region_eastang;TP_region_eastmid;TP_region_london;TP_region_north;TP_region_northw;TP_region_outerldn;TP_region_scotland;TP_region_southe;TP_region_southw;TP_region_wales;TP_region_westmid;TP_region_yorkshire;sum_TP;Incurred;Capped Incurred
22;2003-09-12;5;0;9;3;3;LD003;Head on collision;6;4;7;1;0;19;2;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;43404;63134.967143212554
23;2003-09-12;5;0;9;3;3;LD003;Head on collision;20;11;4;2;1;12;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
24;2003-09-14;7;1;9;3;0;LD003;Head on collision;3;79;4;0;1;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;992;1443.6573024650243
25;2003-09-15;1;0;9;3;2;LD003;Head on collision;0;167;4;1;1;17;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;829;1206.164949383424
26;2003-09-17;3;0;9;3;2;LD003;Head on collision;0;37;7;1;0;7;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;191;278.622431869184
27;2003-09-22;1;0;9;3;2;LD003;Head on collision;10;21;7;2;1;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2249;3272.0627956462085
28;2003-10-02;4;0;10;3;2;LD003;Head on collision;48;55;4;1;1;13;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38825;56474.30632868865
29;2003-10-03;5;0;10;3;0;LD003;Head on collision;5;120;4;2;0;15;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4774;6944.530293481216
30;2003-10-05;7;1;10;3;0;LD003;Head on collision;1;96;4;2;0;18;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2275;3310.5693508897284
31;2003-10-11;6;1;10;3;3;LD003;Head on collision;0;58;7;1;1;13;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.0
32;2003-10-15;3;0;10;3;2;LD003;Head on collision;145;33;7;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;876;1274.3130891852802
33;2003-10-15;3;0;10;3;2;LD003;Head on collision;1;5;4;1;0;18;2;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;109;159.252110614272
34;2003-10-18;6;1;10;3;0;LD003;Head on collision;3;78;7;1;0;12;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;96;140.90860325376
35;2003-10-21;2;0;10;3;3;LD003;Head on collision;3;46;4;1;0;23;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;23288;33874.80905626676
36;2003-10-21;2;0;10;3;0;LD003;Head on collision;1;41;4;2;0;17;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;184;269.038107954176
37;2003-10-21;2;0;10;3;3;LD003;Head on collision;0;103;7;1;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1976;2875.19138726272
38;2003-10-22;3;0;10;3;2;LD003;Head on collision;0;33;4;2;1;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0.0
39;2003-10-25;6;1;10;3;2;LD003;Head on collision;4;107;4;1;1;12;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;920;1338.9702500776962
40;2003-10-26;7;1;10;3;3;LD003;Head on collision;8;102;4;1;1;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0.0
41;2003-10-29;3;0;10;3;2;LD003;Head on collision;1;89;8;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0.0
42;2003-10-30;4;0;10;3;3;LD003;Head on collision;0;63;4;1;1;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4261;6197.883955819777
43;2003-11-01;6;1;11;3;2;LD003;Head on collision;0;100;4;2;0;10;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2172;3160.0975811688963
44;2003-11-03;1;0;11;3;0;LD003;Head on collision;8;141;4;0;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;993;1445.286425956096
45;2003-11-04;2;0;11;3;2;LD003;Head on collision;1;64;7;2;0;17;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;7685;11178.60108932941
46;2003-11-06;4;0;11;3;2;LD003;Head on collision;0;142;4;1;0;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4597;6687.001837204225
47;2003-11-08;6;1;11;3;3;LD003;Head on collision;0;212;4;1;0;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;80;117.21226156544
48;2003-11-08;6;1;11;3;2;LD003;Head on collision;2;20;4;1;0;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;80;117.21226156544
49;2003-11-12;3;0;11;3;0;LD003;Head on collision;1;152;7;0;0;7;2;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;2;3;20228;29423.768631834882
50;2003-11-13;4;0;11;3;2;LD003;Head on collision;0;140;7;1;0;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5143;7481.929471055616
51;2003-11-14;5;0;11;3;2;LD003;Head on collision;1;90;4;2;0;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;494;719.77637878272
52;2003-11-15;6;1;11;3;2;LD003;Head on collision;2;45;4;2;1;23;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
53;2003-11-18;2;0;11;3;0;LD003;Head on collision;0;195;7;2;0;7;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;171;249.08663455052803
54;2003-11-20;4;0;11;3;3;LD003;Head on collision;0;165;4;2;1;18;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
55;2003-11-21;5;0;11;3;2;LD003;Head on collision;0;54;4;2;0;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6230;9063.11018510464
56;2003-11-21;5;0;11;3;2;LD003;Head on collision;8;66;4;2;1;18;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;532;774.7222710725121
57;2003-11-22;6;1;11;3;2;LD003;Head on collision;39;102;4;1;1;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;685;997.1928361195521
58;2003-11-24;1;0;11;3;2;LD003;Head on collision;7;208;7;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;133;194.86009549056
59;2003-11-26;3;0;11;3;0;LD003;Head on collision;2;175;4;2;0;18;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;70586;72728.0
60;2003-11-26;3;0;11;3;3;LD003;Head on collision;1;88;7;1;1;11;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;80;117.21226156544
61;2003-11-27;4;0;11;3;2;LD003;Head on collision;0;84;7;3;1;8;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;85;124.532738551296
62;2003-11-27;4;0;11;3;2;LD003;Head on collision;4;59;4;1;1;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.0
63;2003-11-28;5;0;11;3;2;LD003;Head on collision;0;34;7;1;0;11;2;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;5152;7494.370050441985
64;2003-11-29;6;1;11;3;2;LD003;Head on collision;4;104;7;1;1;19;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;109;159.99262129203203
65;2003-11-30;7;1;11;3;0;LD003;Head on collision;1;221;4;1;0;15;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;7315;10641.074967067394
66;2003-12-02;2;0;12;4;3;LD003;Head on collision;0;236;4;0;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;80;116.704482814976
67;2003-12-02;2;0;12;4;3;LD003;Head on collision;0;65;7;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
68;2003-12-03;3;0;12;4;2;LD003;Head on collision;1;96;4;2;0;9;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;9279;13497.49969801088
69;2003-12-03;3;0;12;4;2;LD003;Head on collision;0;103;7;2;1;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2280;3317.8475129797125
70;2003-12-05;5;0;12;4;3;LD003;Head on collision;1;126;7;1;0;20;2;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;2;0;0;0;0;0;0;0;2;33938;49366.10201797453
71;2003-12-07;7;1;12;4;3;LD003;Head on collision;1;247;4;1;0;18;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3088;4492.953328793088
72;2003-12-07;7;1;12;4;2;LD003;Head on collision;1;172;4;1;1;15;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;103;150.979548471296
73;2003-12-07;7;1;12;4;2;LD003;Head on collision;2;117;7;1;1;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;428;622.8329523399681
74;2003-12-08;1;0;12;4;3;LD003;Head on collision;0;185;4;1;1;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.0
75;2003-12-09;2;0;12;4;2;LD003;Head on collision;0;191;4;1;0;8;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;722;1050.298030438912
76;2003-12-10;3;0;12;4;2;LD003;Head on collision;0;71;4;3;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0
77;2003-12-10;3;0;12;4;2;LD003;Head on collision;0;187;7;3;0;16;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1670;2429.61553373056
78;2003-12-12;5;0;12;4;2;LD003;Head on collision;0;249;4;2;0;13;2;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;16133;23467.756620819455
79;2003-12-12;5;0;12;4;2;LD003;Head on collision;0;11;4;1;0;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;10137;14746.191117745664
80;2003-12-16;2;0;12;4;2;LD003;Head on collision;0;168;4;1;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;110;160.45808514662403
81;2003-12-16;2;0;12;4;2;LD003;Head on collision;0;173;4;1;1;15;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0.0
82;2003-12-17;3;0;12;4;2;LD003;Head on collision;14;214;7;0;0;8;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;471;685.6071003660801
83;2003-12-17;3;0;12;4;2;LD003;Head on collision;23;200;4;1;0;17;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11591;16859.989426135555
84;2003-12-17;3;0;12;4;3;LD003;Head on collision;0;105;7;1;1;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2018;2936.632616068864
85;2003-12-17;3;0;12;4;2;LD003;Head on collision;0;96;4;1;1;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11861;17253.771847120384
86;2003-12-18;4;0;12;4;2;LD003;Head on collision;1;89;7;2;0;17;2;1;1;1;2;0;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;1845;2684.03384516096
87;2003-12-20;6;1;12;4;2;LD003;Head on collision;2;139;7;1;0;23;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7261;10562.157686266113
88;2003-12-21;7;1;12;4;2;LD003;Head on collision;452;98;7;0;2;16;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1219;1774.5597881840642
89;2003-12-21;7;1;12;4;3;LD003;Head on collision;1;255;7;2;0;14;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12955;18844.28299570919
90;2003-12-23;2;0;12;4;3;LD003;Head on collision;0;149;7;1;1;8;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;90;131.28196444288
91;2003-12-24;3;0;12;4;2;LD003;Head on collision;0;106;4;2;0;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16683;24266.958059153927
92;2003-12-27;6;1;12;4;2;LD003;Head on collision;2;142;4;2;0;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;725;1055.396975391488
93;2003-12-28;7;1;12;4;3;LD003;Head on collision;1;68;4;3;1;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1247;1813.9337987929605
94;2003-12-30;2;0;12;4;3;LD003;Head on collision;0;33;7;1;0;17;2;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;52151;72728.0
95;2004-01-02;5;0;1;4;3;LD003;Head on collision;3;91;4;1;1;16;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
96;2004-01-06;2;0;1;4;3;LD003;Head on collision;1;260;4;1;1;17;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0.0
97;2004-01-07;3;0;1;4;3;LD003;Head on collision;0;179;4;1;1;13;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
98;2004-01-08;4;0;1;4;2;LD003;Head on collision;2;141;4;1;1;7;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
99;2004-01-09;5;0;1;4;3;LD003;Head on collision;0;161;7;2;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;79;116.19670406451202
100;2004-01-12;1;0;1;4;3;LD003;Head on collision;0;222;4;1;0;16;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;18684;27177.630486605314
101;2004-01-13;2;0;1;4;2;LD003;Head on collision;0;37;7;2;1;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;79;116.19670406451202
102;2004-01-13;2;0;1;4;3;LD003;Head on collision;0;205;4;1;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
103;2004-01-15;4;0;1;4;3;LD003;Head on collision;1;99;7;2;1;19;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;15252;22186.08073975245
104;2004-01-16;5;0;1;4;2;LD003;Head on collision;1;94;7;1;0;19;2;1;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;3;8845;12865.780617537794
105;2004-01-19;1;0;1;4;2;LD003;Head on collision;0;52;4;2;1;18;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;959;1394.9528573163523
106;2004-01-20;2;0;1;4;3;LD003;Head on collision;1;141;7;2;0;18;2;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;25530;37136.335442840835
107;2004-01-21;3;0;1;4;2;LD003;Head on collision;0;161;4;2;0;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4010;5832.79103423616
108;2004-01-23;5;0;1;4;3;LD003;Head on collision;0;176;4;2;1;15;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1924;2799.6592981312006
109;2004-01-27;2;0;1;4;3;LD003;Head on collision;0;251;7;1;0;8;2;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;372;542.1172884641281
110;2004-01-27;2;0;1;4;2;LD003;Head on collision;3;201;7;1;0;19;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;255;372.18066664217605
111;2004-01-28;3;0;1;4;2;LD003;Head on collision;3;90;4;3;1;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;324;471.85340386867205
112;2004-01-28;3;0;1;4;3;LD003;Head on collision;1;236;4;3;0;17;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
